Json Node,Json Column,Tipe Data
header,id_report,String
header,idscore_id,String
header,username,String
header,tgl_permintaan,DateTime
header,id_tujuan_permintaan,String
header,id_tipe_debitur,int16
header,no_referensi_dokumen,String
header,ktp,String
header,npwp,String
header,nama_debitur,String
header,tanggal_lahir,DateTime
header,tempat_lahir,String
header,tanggal_pendirian,DateTime
header,tempat_pendirian,String
header,fasilitas_kredit_tidak_tampil,String
header,fasilitas_joint_account_tidak_tampil,String
header,fasilitas_surat_berharga_tidak_tampil,String
header,fasilitas_irrevocable_lc_tidak_tampil,String
header,fasilitas_garansi_tidak_tampil,String
header,fasilitas_lain_tidak_tampil,String
header.custom_param,key,String
header.custom_param,value,String
debitur,alamat_debitur,string
debitur,alamat_tempat_bekerja,string
debitur,email,string
debitur,go_public,int16?
debitur,id_debitur_golden_record,int64
debitur,id_golongan_debitur,int32
debitur,id_jenis_badan_usaha,int32
debitur,id_jenis_identitas,int32
debitur,id_jenis_kelamin,int32
debitur,id_kabupaten_kota,int16?
debitur,id_kantor_cabang,int64
debitur,id_lembaga_pemeringkat,int16
debitur,id_lokasi,int32
debitur,id_negara,int16
debitur,id_sektor_ekonomi,int32
debitur,id_status_gelar,int16
debitur,id_status_perkawinan,int16
debitur,id_tipe_debitur,int16
debitur,kecamatan,string
debitur,kelurahan,string
debitur,nama_alias,string
debitur,nama_badan_usaha,string
debitur,nama_gadis_ibu_kandung,string
debitur,nama_group,string
debitur,nama_lengkap_debitur,string
debitur,nama_sesuai_identitas,string
debitur,nomor_akta_pendirian,string
debitur,nomor_akta_perubahan_terakhir,string
debitur,nomor_identitas,string
debitur,npwp,string
debitur,peringkat_atau_rating_debitur,string
debitur,tanggal_akta_pendirian,DateTime
debitur,tanggal_akta_perubahan_terakhir,DateTime
debitur,tanggal_lahir,DateTime
debitur,tanggal_pemeringkatan,DateTime
debitur,telepon,string
debitur,telepon_seluler,string
debitur,tempat_bekerja,string
debitur,tempat_lahir,string
debitur,tempat_pendirian,string
debitur,bank_jml_aktif_fasilitas,int16
debitur,bank_jml_fasilitas,int16
debitur,bank_jml_fasilitas_tertunggak,int16
debitur,bank_jml_hari_tunggakan,int16
debitur,bank_jml_hari_tunggakan_terburuk,int16
debitur,bank_jml_plafon,Decimal
debitur,bank_jml_saldo_terutang,Decimal
debitur,bank_jml_tunggakan,Decimal
debitur,bank_jml_tutup_fasilitas,int16
debitur,bank_kolektabilitas_terburuk,int16
debitur,bank_status_tunggakan,int16
debitur,bank_tgl_buka_fasilitas_terakhir,DateTime
debitur,bank_tgl_tunggakan_terakhir,DateTime
debitur,bank_tgl_tutup_fasilitas_terakhir,DateTime
debitur,bank_tunggakan_terburuk,Decimal
debitur,coorp_jml_aktif_fasilitas,int16
debitur,coorp_jml_fasilitas,int16
debitur,coorp_jml_fasilitas_tertunggak,int16
debitur,coorp_jml_hari_tunggakan,int16
debitur,coorp_jml_hari_tunggakan_terburuk,int16
debitur,coorp_jml_plafon,Decimal
debitur,coorp_jml_saldo_terutang,Decimal
debitur,coorp_jml_tunggakan,Decimal
debitur,coorp_jml_tutup_fasilitas,int16
debitur,coorp_kolektabilitas_terburuk,int16
debitur,coorp_status_tunggakan,int16
debitur,coorp_tgl_buka_fasilitas_terakhir,DateTime
debitur,coorp_tgl_tunggakan_terakhir,DateTime
debitur,coorp_tgl_tutup_fasilitas_terakhir,DateTime
debitur,coorp_tunggakan_terburuk,Decimal
debitur,jml_aktif_fasilitas,int16
debitur,jml_bln_dgn_riwayat_kredit_12bln,int16
debitur,jml_fasilitas,int16
debitur,jml_fasilitas_12bln,int16
debitur,jml_fasilitas_bnpl,int16
debitur,jml_fasilitas_cc,int16
debitur,jml_fasilitas_dgn_agunan,int16
debitur,jml_fasilitas_garansi_yang_diberikan,int16
debitur,jml_fasilitas_investasi,int16
debitur,jml_fasilitas_irrevocable_lc,int16
debitur,jml_fasilitas_kkb_mobil,int16
debitur,jml_fasilitas_kkb_motor,int16
debitur,jml_fasilitas_konsumsi,int16
debitur,jml_fasilitas_kpr,int16
debitur,jml_fasilitas_kpr_sd_21,int16
debitur,jml_fasilitas_kpr_sd_22_70,int16
debitur,jml_fasilitas_kpr_up_70,int16
debitur,jml_fasilitas_kredit,int16
debitur,jml_fasilitas_kredit_joint_account,int16
debitur,jml_fasilitas_kredit_toko,int16
debitur,jml_fasilitas_kta,int16
debitur,jml_fasilitas_lainnya,int16
debitur,jml_fasilitas_modal_kerja,int16
debitur,jml_fasilitas_others,int16
debitur,jml_fasilitas_perluasan_mandat,int16
debitur,jml_fasilitas_pl,int16
debitur,jml_fasilitas_surat_berharga,int16
debitur,jml_fasilitas_tanpa_agunan,int16
debitur,jml_fasilitas_tertunggak,int16
debitur,jml_fasilitas_whitegoods,int16
debitur,jml_hari_tunggakan,int16
debitur,jml_hari_tunggakan_terburuk,int16
debitur,jml_hari_tunggakan_terburuk_12bln,int16
debitur,jml_nilai_agunan,Decimal
debitur,jml_pelapor,int16
debitur,jml_pengurus_pemilik,int16
debitur,jml_penjamin,int16
debitur,jml_plafon,Decimal
debitur,jml_saldo_terutang,Decimal
debitur,jml_tunggakan,Decimal
debitur,jml_tutup_fasilitas,int16
debitur,jml_tutup_fasilitas_12bln,int16
debitur,kolektabilitas_terburuk,int16
debitur,kolektabilitas_terburuk_12bln,int16
debitur,mf_jml_aktif_fasilitas,int16
debitur,mf_jml_fasilitas,int16
debitur,mf_jml_fasilitas_tertunggak,int16
debitur,mf_jml_hari_tunggakan,int16
debitur,mf_jml_hari_tunggakan_terburuk,int16
debitur,mf_jml_plafon,Decimal
debitur,mf_jml_saldo_terutang,Decimal
debitur,mf_jml_tunggakan,Decimal
debitur,mf_jml_tutup_fasilitas,int16
debitur,mf_kolektabilitas_terburuk,int16
debitur,mf_status_tunggakan,int16
debitur,mf_tgl_buka_fasilitas_terakhir,DateTime
debitur,mf_tgl_tunggakan_terakhir,DateTime
debitur,mf_tgl_tutup_fasilitas_terakhir,DateTime
debitur,mf_tunggakan_terburuk,Decimal
debitur,mob_newest_fac,int32
debitur,n_good_after_bad,int32
debitur,nbfi_jml_aktif_fasilitas,int16
debitur,nbfi_jml_fasilitas,int16
debitur,nbfi_jml_fasilitas_tertunggak,int16
debitur,nbfi_jml_hari_tunggakan,int16
debitur,nbfi_jml_hari_tunggakan_terburuk,int16
debitur,nbfi_jml_plafon,Decimal
debitur,nbfi_jml_saldo_terutang,Decimal
debitur,nbfi_jml_tunggakan,Decimal
debitur,nbfi_jml_tutup_fasilitas,int16
debitur,nbfi_kolektabilitas_terburuk,int16
debitur,nbfi_status_tunggakan,int16
debitur,nbfi_tgl_buka_fasilitas_terakhir,DateTime
debitur,nbfi_tgl_tunggakan_terakhir,DateTime
debitur,nbfi_tgl_tutup_fasilitas_terakhir,DateTime
debitur,nbfi_tunggakan_terburuk,Decimal
debitur,p2p_jml_aktif_fasilitas,int16
debitur,p2p_jml_fasilitas,int16
debitur,p2p_jml_fasilitas_tertunggak,int16
debitur,p2p_jml_hari_tunggakan,int16
debitur,p2p_jml_hari_tunggakan_terburuk,int16
debitur,p2p_jml_plafon,Decimal
debitur,p2p_jml_saldo_terutang,Decimal
debitur,p2p_jml_tunggakan,Decimal
debitur,p2p_jml_tutup_fasilitas,int16
debitur,p2p_kolektabilitas_terburuk,int16
debitur,p2p_status_tunggakan,int16
debitur,p2p_tgl_buka_fasilitas_terakhir,DateTime
debitur,p2p_tgl_tunggakan_terakhir,DateTime
debitur,p2p_tgl_tutup_fasilitas_terakhir,DateTime
debitur,p2p_tunggakan_terburuk,Decimal
debitur,pawn_jml_aktif_fasilitas,int16
debitur,pawn_jml_fasilitas,int16
debitur,pawn_jml_fasilitas_tertunggak,int16
debitur,pawn_jml_hari_tunggakan,int16
debitur,pawn_jml_hari_tunggakan_terburuk,int16
debitur,pawn_jml_plafon,Decimal
debitur,pawn_jml_saldo_terutang,Decimal
debitur,pawn_jml_tunggakan,Decimal
debitur,pawn_jml_tutup_fasilitas,int16
debitur,pawn_kolektabilitas_terburuk,int16
debitur,pawn_status_tunggakan,int16
debitur,pawn_tgl_buka_fasilitas_terakhir,DateTime
debitur,pawn_tgl_tunggakan_terakhir,DateTime
debitur,pawn_tgl_tutup_fasilitas_terakhir,DateTime
debitur,pawn_tunggakan_terburuk,Decimal
debitur,perc_total_bln_tanpa_tunggakan_12bln,int16
debitur,status_tunggakan,int16
debitur,tgl_buka_fasilitas_terakhir,DateTime
debitur,tgl_tunggakan_terakhir,DateTime
debitur,tgl_tutup_fasilitas_terakhir,DateTime
debitur,tunggakan_terburuk,Decimal
debitur,tunggakan_terburuk_12bln,Decimal
fasilitas,baki_debet,Decimal
fasilitas,bank_beneficiery,String
fasilitas,denda,Decimal
fasilitas,disbursement_date,int32
fasilitas,fase_fasilitas,int16
fasilitas,frekuensi_perpanjangan_fasilitas,int32
fasilitas,frekuensi_restrukturisasi,int32
fasilitas,frekuensi_tunggakan,int32
fasilitas,has_collateral,Bit
fasilitas,id_cara_restrukturisasi,int16
fasilitas,id_fasilitas,int64
fasilitas,id_jenis_fasilitas,int32
fasilitas,id_jenis_kredit,int32
fasilitas,id_jenis_pelapor,int32
fasilitas,id_jenis_penggunaan,int32
fasilitas,id_jenis_suku_bunga_atau_imbalan,int16
fasilitas,id_kabupaten_kota,int16
fasilitas,id_kantor_cabang,int64
fasilitas,id_kategori_debitur,int16
fasilitas,id_kolektabilitas,int16
fasilitas,id_kondisi,int16
fasilitas,id_kredit_program_pemerintah,int16
fasilitas,id_orientasi_penggunaan,int16
fasilitas,id_pelapor,int32
fasilitas,id_produk,int16
fasilitas,id_sebab_macet,int16
fasilitas,id_sektor_ekonomi,int16
fasilitas,id_sifat_kredit,int16
fasilitas,id_skim_pembiayaan,int16
fasilitas,id_sumber,int16
fasilitas,id_valuta,int16
fasilitas,is_active_fasilitas,Bit
fasilitas,is_closed_negative,Bit
fasilitas,is_closed_negative_on_1st_6m_after_open,Bit
fasilitas,is_closed_positive,Bit
fasilitas,is_dpd_90_in_6m_after_open,Bit
fasilitas,jml_hari_tunggakan_terburuk,int32
fasilitas,jml_hari_tunggakan_terburuk_12bln,int32
fasilitas,jml_tunggakan,Decimal
fasilitas,jumlah_hari_tunggakan,int32
fasilitas,keterangan,String
fasilitas,keterangan_sebab_macet,String
fasilitas,koletabilitas_terburuk,int16
fasilitas,koletabilitas_terburuk_12bln,int16
fasilitas,listing,String
fasilitas,nama_yang_dijamin,String
fasilitas,nilai_dalam_mata_uang_asal,Decimal
fasilitas,nilai_pasar,Decimal
fasilitas,nilai_perolehan,Decimal
fasilitas,nilai_proyek,Decimal
fasilitas,nominal,Decimal
fasilitas,nominal_tunggakan,Decimal
fasilitas,nomor_akad_akhir,String
fasilitas,nomor_akad_awal,String
fasilitas,nomor_rekening_fasilitas,String
fasilitas,peringkat_surat_berharga,String
fasilitas,plafon,Decimal
fasilitas,plafon_awal,Decimal
